EXPRESSION,DESTINATION,DEPART,ERROR,,
Je veux partir de Paris à Rennes,Rennes,Paris,FALSE,,
J veux manger du chocolat,none,none,TRUE,,
Hello Alexis comment vas tu?,none,none,TRUE,,
Touria aimerait voir un film à Rennes,Rennes,none,True,,
je veux train de Lyon à Lille,Lille,Lyon,FALSE,,
Je voudrais un train de Paris à Lyon,Lyon,Paris,FALSE,,
Arthue veut allez à Nantes,Nantes,none,FALSE,,
Bonjour je veux aller de Rennes à Paris,Paris, Rennes,FALSE,,
le trajet le plus court pour aller a Nice,Nice,none,FALSE,,
Vols pas chers de Paris pour Nice,Nice,Paris,FALSE,,
j'aimerais manger un Paris-Brest,none,none,TRUE,,
je voudrais reserver un billet de Marseille à Bordeaux,Bordeaux,Marseille,FALSE,,
Un aller simple pour Toulouse partant de Rennes,Toulouse,Rennes,FALSE,,
C'est quoi le chemin le plus court pour aller à Aix-en-Provence ?,Aix-en-Provence,none,FALSE,,
Un billet pour Nice depart de Tours,Nice,Tours,FALSE,,
Un allez simple Montpellier - Toulouse s'il vous plaît,Toulouse,Montpellier,FALSE,,
Quel est le train le plus court pour Montpellier en provenance de Reims ?,Montpellier,Reims,FAUX,,
j'aimerais aller à Dijon ,Dijon,none,FALSE,,
un parsien svp ,none,none,TRUE,,
Je voudrais aller en direction de Paris,Paris,none,FAUX,,
Comment faire pour aller à Tours?,Tours,none,FAUX,,
Les toilettes c'est par où?,none,none,TRUE,,
j'ai un rendez-vous à Dijon,Dijon,none,FAUX,,
Je dois prendre quel train pour aller à Angers?,Angers,none,FAUX,,
Brest-Paris,Paris,Brest,FALSE,,
Je veux aller à Paris,Paris,none,FALSE,,
Je voudrais aller à Brest,Brest,none,FALSE,,
Bonjour un train pour Caen,Caen,none,FALSE,,
Trouve moi les meilleurs restaurants à Paris,none,none,TRUE,,
Un billet de Perpignan à Grenoble,Grenoble,Perpignan,FALSE,,
le train le plus court pour aller à Lille de Lyon,Lille,Lyon,FALSE,,
Un billet pour aller de Lille,none,Lille,TRUE,,
"Salem frere, Labes?, hamdoullah, je cherche un train pour aller à Barbès",Barbès,none,FALSE,,
Un Montpelier aller simple,Montpelier,none,FALSE,,
Un billet pour Nice depart de Tours,Nice,Tours,FALSE,,
Je suis content,none,none,TRUE,,
Je t'aime,none,none,TRUE,,
J'adore Paris,none,none,TRUE,,
Je veux voyager de Brest à Lille,Lille,Brest,FALSE,,
Comment est la vie à Rennes ?,none,none,TRUE,,
On veut se balader de Rennes à Lille,Lille,Rennes,FALSE,,
Comment je peux avoir un train de Nantes à Orléans,Orléans,Nantes,FALSE,,

